Equipe;Nom;Poste;Type poste;Date de naissance;Taille (en cm);Poids (en kg);ID_equipe;Equipe;Compo
La Rochelle;Brieuc PLESSIS-COUILLAUD;Centre;Trois-Quarts;19/03/1994;180;95;7;;FALSE
La Rochelle;Geoffrey DOUMAYROU;Centre;Trois-Quarts;16/09/1989;186;92;7;;FALSE
La Rochelle;Jérémy SINZELLE;Centre;Trois-Quarts;02/07/1990;184;88;7;;FALSE
La Rochelle;Jules FAVRE;Centre;Trois-Quarts;22/03/1999;181;88;7;;FALSE
La Rochelle;Levani BOTIA;Centre;Trois-Quarts;14/03/1989;182;103;7;;FALSE
La Rochelle;Pierre AGUILLON;Centre;Trois-Quarts;27/03/1987;180;93;7;;FALSE
La Rochelle;Arthur RETIÈRE;Ailier;Trois-Quarts;01/08/1997;173;75;7;;FALSE
La Rochelle;Eliott ROUDIL;Ailier;Trois-Quarts;30/10/1996;184;97;7;;FALSE
La Rochelle;Gabriel LACROIX;Ailier;Trois-Quarts;19/10/1993;171;80;7;;FALSE
La Rochelle;Marc ANDREU;Ailier;Trois-Quarts;27/12/1985;170;75;7;;FALSE
La Rochelle;Kini MURIMURIVALU;Arrière;Arrière;15/05/1989;176;97;7;;FALSE
La Rochelle;Vincent RATTEZ;Arrière;Arrière;24/03/1992;180;78;7;;FALSE
Lyon;Clément RIC;Pilier;Avant;18/07/1988;182;117;8;;FALSE
